code,name,lat,lon,demand_factor
YZS,"Coral Harbour Airport (Coral Harbour, CA)",64.1932983398,-83.3593978882,1.0
YZT,"Port Hardy Airport (Port Hardy, CA)",50.680599212646484,-127.36699676513672,1.0
YZU,"Whitecourt Airport (Whitecourt, CA)",54.143902,-115.787003,1.0
YZV,"Sept-Îles Airport (Sept-Îles, CA)",50.22330093383789,-66.2656021118164,1.0
YZW,"Teslin Airport (Teslin, CA)",60.17279815673828,-132.7429962158203,1.0
YZX,"CFB Greenwood (Greenwood, CA)",44.98440170288086,-64.91690063476562,1.0
YSN,"Shuswap Regional Airport (Salmon Arm, CA)",50.682802,-119.228996,1.0
YDT,"Boundary Bay Airport (Delta, CA)",49.074338,-123.006877,1.0
ZBF,"Bathurst Airport (South Tetagouche, CA)",47.6297,-65.738899,1.0
ZBM,"Bromont (Roland Désourdy) Airport (Bromont, CA)",45.290798,-72.741402,1.0
KES,"Kelsey Airport (Kelsey, CA)",56.0374984741,-96.50969696039999,1.0
ZFA,"Faro Airport (Faro, CA)",62.20750045776367,-133.37600708007812,1.0
ZGF,"Grand Forks Airport (Grand Forks, CA)",49.015598,-118.431,1.0
ZJG,"Jenpeg Airport (Jenpeg, CA)",54.51890182495117,-98.04609680175781,1.0
ZJN,"Swan River Airport (Swan River, CA)",52.120602,-101.236,1.0
YTD,"Thicket Portage Airport (Thicket Portage, CA)",55.31890106201172,-97.70780181884766,1.0
PIW,"Pikwitonei Airport (Pikwitonei, CA)",55.58890151977539,-97.16419982910156,1.0
ZMT,"Masset Airport (Masset, CA)",54.0275,-132.125,1.0
WPC,"Pincher Creek Airport (Pincher Creek, CA)",49.520429,-113.997002,1.0
ZSJ,"Sandy Lake Airport (Sandy Lake, CA)",53.06420135498047,-93.34439849853516,1.0
ZST,"Stewart Airport (Stewart, CA)",55.935410448,-129.982434511,1.0
ZUC,"Ignace Municipal Airport (Ignace, CA)",49.428204,-91.720418,1.0
BUJ,"Bou Saada Airport (Ouled Sidi Brahim, DZ)",35.3325,4.20639,1.0
